Gene ID	Gene Name	SRR1509734	SRR1509741	SRR1509739	SRR1509737	SRR1509730	SRR1509740	SRR1509738	SRR1509733	SRR1509736	SRR1509732	SRR1509731	SRR1509735
ENSG00000002933	TMEM176A	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000003056	M6PR	2573	2423	2866	1960	1855	2956	2133	3195	1858	2484	2163	2933
ENSG00000003096	KLHL13	5	1	4	4	4	4	4	3	4	3	3	3
ENSG00000003137	CYP26B1	3	4	8	5	2	8	6	5	7	8	3	5
ENSG00000003147	ICA1	882	1268	1607	851	767	1670	754	1221	795	1012	851	1072
ENSG00000003249	DBNDD1	2617	1987	2301	1814	1256	2599	2016	3975	2032	1969	1682	2981
ENSG00000003393	ALS2	1132	896	1095	802	824	1060	802	1403	749	1152	1047	1335
ENSG00000003400	CASP10	2	9	6	2	0	7	4	7	2	3	1	3
ENSG00000003402	CFLAR	455	399	446	373	323	550	383	547	339	388	410	514
ENSG00000003436	TFPI	934	802	979	913	768	1040	868	1055	707	888	763	1094
ENSG00000003509	NDUFAF7	255	255	279	238	197	334	207	341	181	222	240	266
ENSG00000003756	RBM5	1118	807	961	708	820	1030	826	1466	764	1237	1327	1226
ENSG00000003987	MTMR7	24	26	36	11	27	41	15	31	19	20	16	27
ENSG00000003989	SLC7A2	3853	6219	8210	2617	2587	8408	2748	4852	2602	3758	3115	4944
ENSG00000004059	ARF5	1586	1457	1685	1442	1107	1823	1385	1981	1431	1485	1201	1935
ENSG00000004139	SARM1	30	30	39	21	7	59	21	39	21	18	24	26
ENSG00000004142	POLDIP2	4651	3540	4088	3789	3238	4496	3895	5862	3599	4449	3587	4933
ENSG00000004399	PLXND1	2512	1623	2085	1858	1430	2263	1950	3597	2045	2229	1993	2977
ENSG00000004455	AK2	3153	2796	3249	2556	2350	3461	2501	3812	2332	2993	2722	3687
ENSG00000004468	CD38	0	9	5	2	2	7	4	2	1	2	4	1
ENSG00000004478	FKBP4	13189	9011	10465	10130	8239	11401	9392	16264	9026	10629	9329	14852
ENSG00000004487	KDM1A	4051	3350	4093	3489	2921	4357	3228	5301	2921	3723	3416	4778
ENSG00000004534	RBM6	1393	730	1111	737	932	1162	971	1938	1016	1421	1620	1238
ENSG00000004660	CAMKK1	95	61	60	90	72	77	76	130	83	90	66	101
ENSG00000004700	RECQL	672	692	710	700	579	840	671	824	639	691	664	818
ENSG00000004766	VPS50	249	297	375	246	177	361	240	305	230	254	225	296
ENSG00000004776	HSPB6	0	0	1	3	0	0	0	1	1	0	1	1
ENSG00000004777	ARHGAP33	234	85	113	158	105	137	224	353	244	219	222	260
ENSG00000004779	NDUFAB1	2644	2780	2969	2991	2302	3125	2709	3581	2648	2778	2484	3439
ENSG00000004799	PDK4	97	103	157	27	24	132	21	114	37	19	27	97
ENSG00000004809	SLC22A16	6	0	0	1	1	0	0	5	3	0	1	7
ENSG00000004838	ZMYND10	3	5	7	2	3	5	4	6	4	4	4	2
ENSG00000004846	ABCB5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004848	ARX	22	23	38	30	31	34	24	31	16	35	24	20
ENSG00000004864	SLC25A13	1298	1130	1387	1169	907	1504	1067	1653	997	1271	1087	1530
ENSG00000004866	ST7	545	404	481	531	448	517	518	709	505	528	527	653
ENSG00000004897	CDC27	1957	1564	1853	1861	1716	2004	1827	2738	1730	1925	1890	2551
ENSG00000004939	SLC4A1	1	1	0	0	0	0	0	0	0	0	0	0
ENSG00000004948	CALCR	39	30	38	35	40	31	37	63	45	56	51	50
ENSG00000004961	HCCS	1260	980	1138	1147	1067	1275	1047	1542	932	1349	1169	1316
ENSG00000004975	DVL2	805	789	1017	692	412	1008	715	954	696	684	584	897
ENSG00000005001	PRSS22	689	618	761	484	550	767	609	835	538	794	721	691
ENSG00000005007	UPF1	3416	2267	2907	2525	2412	3054	2790	4636	2546	3828	3131	3800
ENSG00000005020	SKAP2	465	728	830	544	420	904	597	685	503	550	516	654
ENSG00000005022	SLC25A5	20883	18062	20210	20070	16131	21856	19816	27819	18994	20726	17640	24777
ENSG00000005059	MCUB	739	811	848	710	519	952	749	864	640	685	575	827
ENSG00000005073	HOXA11	53	53	60	55	39	64	58	70	56	63	39	69
ENSG00000005075	POLR2J	868	696	855	790	639	860	766	1046	690	830	695	980
ENSG00000005100	DHX33	1264	867	1053	834	964	1141	881	1582	847	1370	1282	1497
ENSG00000005102	MEOX1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005108	THSD7A	37	47	91	11	22	65	32	31	23	32	30	38
ENSG00000005156	LIG3	630	683	846	551	476	958	544	883	540	586	619	684
ENSG00000005175	RPAP3	1767	1526	1814	1671	1530	2004	1543	2190	1402	1859	1652	2152
ENSG00000005187	ACSM3	7	17	25	6	2	22	3	10	8	2	7	2
ENSG00000005189	REXO5	531	409	482	435	387	580	405	690	418	500	428	582
ENSG00000005194	CIAPIN1	1865	1521	1818	1606	1461	1769	1529	2354	1479	1761	1642	2149
ENSG00000005206	SPPL2B	286	183	256	130	141	269	198	409	198	265	252	283
ENSG00000005238	FAM214B	77	124	150	57	23	161	52	75	64	48	28	61
ENSG00000005243	COPZ2	175	280	334	163	115	361	151	250	141	149	134	190
ENSG00000005249	PRKAR2B	592	687	797	557	537	961	526	763	527	632	576	683
ENSG00000005302	MSL3	635	534	642	602	501	655	543	753	500	691	591	718
ENSG00000005339	CREBBP	2798	1625	2448	1499	1536	2533	1836	3610	1675	2640	2327	3724
ENSG00000005379	TSPOAP1	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000005381	MPO	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005421	PON1	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000005436	GCFC2	397	404	452	295	336	526	316	482	286	381	339	414
ENSG00000005448	WDR54	553	568	626	448	330	704	480	713	469	462	407	645
ENSG00000005469	CROT	444	410	471	501	402	522	500	507	423	467	430	464
ENSG00000005471	ABCB4	5	36	24	15	6	33	21	11	14	16	12	8
ENSG00000005483	KMT2E	816	754	1076	548	565	1057	697	1069	632	775	788	1086
ENSG00000005486	RHBDD2	1852	1427	1681	1373	1015	1982	1413	2562	1354	1478	1302	2167
ENSG00000005513	SOX8	2	0	0	0	0	1	0	0	2	1	0	1
ENSG00000005700	IBTK	3080	3911	4553	2602	2091	5306	2509	3692	2464	2736	2489	3657
ENSG00000005801	ZNF195	485	490	591	354	364	659	319	652	328	471	451	668
ENSG00000005810	MYCBP2	581	434	741	342	310	711	445	650	353	579	525	774
ENSG00000005812	FBXL3	497	445	512	509	582	610	481	638	479	605	553	644
ENSG00000005844	ITGAL	0	0	1	0	0	1	0	0	0	2	1	0
ENSG00000005882	PDK2	161	182	196	131	85	243	143	216	157	144	136	162
ENSG00000005884	ITGA3	1322	1178	1446	967	721	1504	1029	1769	1031	1153	900	1413
ENSG00000005889	ZFX	755	451	659	545	593	670	513	914	469	788	730	914
ENSG00000005893	LAMP2	7120	7241	8482	6623	5872	9607	6534	9202	6211	7081	6221	8865
ENSG00000005961	ITGA2B	17	14	16	20	15	14	19	29	25	29	27	22
ENSG00000005981	ASB4	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000006007	GDE1	2979	2865	3380	2901	2310	3621	2756	4069	2515	2980	2466	3372
ENSG00000006015	REX1BD	515	450	515	442	294	501	550	668	536	573	459	588
ENSG00000006016	CRLF1	567	482	545	491	356	572	483	753	470	493	396	716
ENSG00000006025	OSBPL7	569	256	398	345	247	440	426	850	432	424	444	554
ENSG00000006042	TMEM98	17	30	20	16	9	27	15	15	14	12	12	20
ENSG00000006047	YBX2	325	199	267	227	194	287	272	448	264	312	316	400
ENSG00000006059	KRT33A	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006062	MAP3K14	836	337	404	363	568	410	392	1020	306	847	694	933
ENSG00000006071	ABCC8	46	37	54	21	33	54	27	40	33	30	34	50
ENSG00000006116	CACNG3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006118	TMEM132A	3514	2803	3445	2872	2083	3728	3178	4520	3062	3083	2557	3907
ENSG00000006125	AP2B1	3887	3658	4719	2970	2571	4921	3018	5182	2776	3572	3216	4898
ENSG00000006128	TAC1	0	1	0	0	0	0	0	1	0	0	0	0
ENSG00000006194	ZNF263	821	884	1001	630	680	1141	617	1018	610	853	762	823
ENSG00000006210	CX3CL1	2	4	6	0	0	5	2	2	1	2	0	1
ENSG00000006282	SPATA20	849	947	1252	655	530	1334	723	1224	719	782	730	958
ENSG00000006283	CACNA1G	7	3	6	3	2	5	8	12	5	2	4	5
ENSG00000006327	TNFRSF12A	6924	4732	5869	4354	4163	5574	4608	7472	4140	5840	4819	8234
ENSG00000006377	DLX6	0	0	1	0	0	0	1	0	0	0	0	0
ENSG00000006432	MAP3K9	960	708	1019	649	650	1024	781	1251	737	993	873	1229
ENSG00000006451	RALA	1508	1695	1926	1396	1177	2112	1165	1791	1148	1398	1184	1679
ENSG00000006453	BAIAP2L1	712	771	921	585	436	1020	568	851	547	573	503	701
ENSG00000006459	KDM7A	203	266	369	158	132	401	200	306	152	224	214	289
ENSG00000006468	ETV1	0	2	4	2	1	10	0	2	0	0	1	1
ENSG00000006530	AGK	754	724	828	546	577	912	581	1017	570	753	722	894
ENSG00000006534	ALDH3B1	170	220	273	134	101	307	157	212	154	152	139	206
ENSG00000006555	TTC22	2	5	9	3	0	1	3	2	0	3	2	1
ENSG00000006576	PHTF2	1527	1280	1458	1294	1297	1708	1364	1961	1284	1584	1430	1902
ENSG00000006606	CCL26	10	17	22	5	6	18	5	17	2	14	0	17
ENSG00000006607	FARP2	984	671	817	798	804	917	843	1324	788	1186	1037	1207
ENSG00000006611	USH1C	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000006625	GGCT	2253	2667	2765	2367	1819	3160	2118	2633	1924	2194	1943	2371
ENSG00000006634	DBF4	922	664	756	1113	1062	891	976	1363	943	1313	1102	1167
ENSG00000006638	TBXA2R	0	0	0	1	0	0	0	2	1	0	0	0
ENSG00000006652	IFRD1	1818	2353	2736	872	956	2643	870	2302	767	1090	974	2253
ENSG00000006659	LGALS14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006695	COX10	310	358	422	247	215	447	248	361	202	285	268	349
ENSG00000006704	GTF2IRD1	862	931	1142	709	401	1063	698	1085	677	616	503	981
ENSG00000006712	PAF1	2681	1662	2101	2500	1952	2077	2385	3131	2166	2592	2413	2772
ENSG00000006715	VPS41	873	1009	1307	784	731	1356	854	1057	758	897	837	973
ENSG00000006740	ARHGAP44	182	206	325	172	123	320	153	246	203	179	179	220
ENSG00000006744	ELAC2	1671	1231	1475	1556	1356	1508	1454	2249	1410	1816	1515	1889
ENSG00000006747	SCIN	1319	1167	1417	942	907	1582	981	1658	880	1204	1057	1435
ENSG00000006756	ARSD	246	324	461	236	182	478	228	287	206	230	205	282
ENSG00000006757	PNPLA4	399	543	651	346	295	714	370	422	306	382	297	449
ENSG00000006788	MYH13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006831	ADIPOR2	4377	2546	2975	3863	3426	3312	3992	5161	3624	4846	4216	4802
ENSG00000006837	CDKL3	3	6	14	5	3	6	4	5	3	2	7	2
ENSG00000007001	UPP2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007038	PRSS21	0	0	0	0	0	0	0	1	0	1	0	0
ENSG00000007047	MARK4	402	479	642	335	172	623	333	496	319	282	240	447
ENSG00000007062	PROM1	7	13	6	2	3	23	2	4	3	7	5	7
ENSG00000007080	CCDC124	1949	1589	1732	1553	1261	1766	1717	2351	1505	1691	1449	2058
ENSG00000007129	CEACAM21	1	1	0	0	0	0	1	0	0	0	0	0
ENSG00000007168	PAFAH1B1	1832	1615	2079	1858	1609	2227	1719	2435	1627	1974	1877	2136
ENSG00000007171	NOS2	0	1	1	2	0	1	0	2	1	0	0	0
ENSG00000007174	DNAH9	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000007202	KIAA0100	4762	3799	5022	3992	3017	5245	3947	6231	3533	4532	3906	5411
ENSG00000007216	SLC13A2	1	1	0	0	1	1	1	0	4	0	0	0
ENSG00000007237	GAS7	1	0	0	0	1	0	0	0	0	0	0	1
ENSG00000007255	TRAPPC6A	283	375	474	259	160	464	265	322	252	216	191	306
ENSG00000007264	MATK	291	214	262	201	155	289	221	301	210	228	172	359
ENSG00000007306	CEACAM7	0	3	0	4	2	2	0	1	1	0	0	1
ENSG00000007312	CD79B	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007314	SCN4A	0	1	0	0	0	0	0	0	0	0	0	1
ENSG00000007341	ST7L	260	237	274	200	169	317	192	329	184	251	216	305
ENSG00000007350	TKTL1	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000007372	PAX6	1	1	2	5	0	1	1	1	1	1	0	0
ENSG00000007376	RPUSD1	1551	958	1142	1349	1123	1219	1425	2051	1383	1715	1316	1870
ENSG00000007384	RHBDF1	1155	676	961	697	612	1065	899	1644	894	925	899	1234
ENSG00000007392	LUC7L	1045	587	740	768	597	728	768	1232	757	882	784	1004
ENSG00000007402	CACNA2D2	47	47	41	45	23	64	37	38	33	30	44	54
ENSG00000007516	BAIAP3	43	28	36	17	15	41	22	42	20	21	32	32
ENSG00000007520	TSR3	728	670	780	683	449	872	737	883	694	701	579	830
ENSG00000007541	PIGQ	936	671	839	674	517	883	744	1336	735	737	670	1091
ENSG00000007545	CRAMP1	408	271	334	278	207	353	281	500	259	372	324	405
ENSG00000007866	TEAD3	1476	1240	1575	1235	801	1605	1251	1841	1281	1116	1027	1550
ENSG00000007908	SELE	0	6	2	1	1	3	0	4	0	1	2	1
ENSG00000007923	DNAJC11	975	652	770	690	763	900	776	1280	715	954	924	1075
ENSG00000007933	FMO3	0	0	0	0	0	0	0	0	1	1	0	0
ENSG00000007944	MYLIP	317	376	442	513	435	436	505	413	447	544	506	375
ENSG00000007952	NOX1	4	7	9	7	7	4	3	8	4	8	6	7
ENSG00000007968	E2F2	688	562	644	568	441	868	585	998	615	747	601	816
ENSG00000008018	PSMB1	7278	6172	6686	6843	5560	7403	6585	8536	5983	7083	6031	7725
ENSG00000008056	SYN1	6	1	1	2	0	1	2	1	0	1	1	4
ENSG00000008083	JARID2	717	776	915	535	494	984	660	1060	614	683	652	823
ENSG00000008086	CDKL5	252	231	357	151	209	365	198	307	135	318	248	379
ENSG00000008118	CAMK1G	2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008128	CDK11A	14	6	18	15	7	9	19	16	8	24	14	13
ENSG00000008130	NADK	888	774	1005	611	530	991	663	1165	655	739	644	1026
ENSG00000008196	TFAP2B	0	1	1	0	0	0	0	0	1	0	0	0
ENSG00000008197	TFAP2D	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008226	DLEC1	3	1	3	0	2	1	2	2	0	1	3	0
ENSG00000008256	CYTH3	552	550	672	363	279	675	399	699	332	414	378	615
ENSG00000008277	ADAM22	247	319	411	223	206	480	240	355	234	240	253	329
ENSG00000008282	SYPL1	2327	2457	2641	2560	2078	3087	2376	3186	2215	2387	2126	2699
ENSG00000008283	CYB561	6425	5659	7015	5401	4371	7404	5566	8188	5259	6103	5313	7676
ENSG00000008294	SPAG9	3718	3689	4944	3078	2766	5209	2952	4551	2861	3789	3223	4309
ENSG00000008300	CELSR3	504	439	707	300	326	715	370	655	353	554	498	589
ENSG00000008311	AASS	9	5	4	3	3	11	5	4	5	8	2	2
ENSG00000008323	PLEKHG6	38	31	47	31	19	59	36	63	29	27	27	35
ENSG00000008324	SS18L2	283	262	280	269	214	274	272	347	239	269	207	326
ENSG00000008382	MPND	352	339	372	294	180	472	323	470	307	319	275	426
ENSG00000008394	MGST1	4925	6229	7102	4473	3742	7884	4531	6404	4090	4424	3994	5809
ENSG00000008405	CRY1	771	788	916	645	507	990	685	1011	590	695	608	893
ENSG00000008438	PGLYRP1	0	0	2	0	0	0	0	1	0	0	0	0
ENSG00000008441	NFIX	749	445	569	505	495	585	623	971	598	675	582	816
ENSG00000008513	ST3GAL1	3159	2381	2980	1898	2645	3345	2126	4272	1847	3671	2992	3386
ENSG00000008516	MMP25	40	17	30	27	27	17	26	45	32	34	43	32
ENSG00000008517	IL32	17	43	31	5	3	51	9	15	5	6	8	13
ENSG00000008710	PKD1	681	720	1006	423	374	1080	552	1039	575	708	719	809
ENSG00000008735	MAPK8IP2	3	3	6	4	4	3	3	4	2	2	0	3
ENSG00000008838	MED24	840	550	690	646	561	733	691	1181	663	836	678	1018
ENSG00000008853	RHOBTB2	601	360	438	425	350	450	411	666	344	501	413	659
ENSG00000008869	HEATR5B	591	527	734	386	362	757	474	760	421	515	482	705
ENSG00000008952	SEC62	3090	3012	3562	2753	2552	3789	2711	3813	2395	3194	2837	3636
ENSG00000008988	RPS20	5888	7218	7968	6028	4109	8110	5753	6884	5413	5486	4690	6633
ENSG00000009307	CSDE1	62095	65502	81921	51492	46507	85454	49995	79256	45895	61233	53659	69250
ENSG00000009335	UBE3C	3097	2735	3288	2534	2320	3769	2563	3973	2405	3198	2751	3692
ENSG00000009413	REV3L	1120	896	1417	658	831	1471	803	1301	736	1324	1158	1412
ENSG00000009694	TENM1	95	60	102	67	80	126	84	157	72	129	138	160
ENSG00000009709	PAX7	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000009724	MASP2	4	3	3	5	2	5	2	6	2	11	5	2
ENSG00000009765	IYD	0	4	6	6	0	6	1	3	3	4	0	6
ENSG00000009780	FAM76A	146	146	175	131	131	165	121	196	98	145	121	182
ENSG00000009790	TRAF3IP3	1	1	1	0	0	2	0	2	0	0	0	0
ENSG00000009830	POMT2	914	738	889	641	623	955	707	1322	653	838	830	939
ENSG00000009844	VTA1	2069	1787	2044	2006	1806	2214	1889	2626	1711	2157	2006	2491
ENSG00000009950	MLXIPL	88	40	55	36	43	58	36	112	29	65	68	70
ENSG00000009954	BAZ1B	3510	2974	4113	2894	2742	4071	2869	4297	2456	4026	3600	4047
ENSG00000010017	RANBP9	1787	1669	2028	1494	1460	2369	1360	2334	1312	1931	1704	2092
ENSG00000010030	ETV7	23	31	41	15	14	47	15	23	23	17	14	22
ENSG00000010072	SPRTN	309	212	234	229	250	264	226	351	232	344	284	321
ENSG00000010165	EEF1AKNMT	1554	1136	1417	1365	1260	1412	1413	1938	1265	1648	1536	1650
ENSG00000010219	DYRK4	93	172	189	76	62	208	89	126	76	73	79	131
ENSG00000010244	ZNF207	3200	2165	2626	2870	2732	3015	2854	4221	2652	3434	3311	3783
ENSG00000010256	UQCRC1	2216	1825	2116	1928	1533	2212	1892	2821	1801	1916	1610	2606
ENSG00000010270	STARD3NL	590	916	939	580	385	1111	569	671	544	446	438	660
ENSG00000010278	CD9	6167	5490	5563	6390	4373	6241	6417	7532	6030	5598	4646	6677
ENSG00000010282	HHATL	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000010292	NCAPD2	5509	2678	3387	5571	4635	3790	5498	8079	5243	6005	5703	6727
ENSG00000010295	IFFO1	1	2	1	1	0	0	0	0	2	1	0	2
ENSG00000010310	GIPR	13	8	12	5	0	14	13	13	15	17	14	13
ENSG00000010318	PHF7	49	52	55	40	34	60	41	79	42	35	41	49
ENSG00000010319	SEMA3G	6	1	0	0	1	1	2	2	0	3	3	2
ENSG00000010322	NISCH	554	409	574	404	332	567	446	687	407	511	498	588
ENSG00000010327	STAB1	0	0	0	1	0	0	0	0	0	1	0	0
ENSG00000010361	FUZ	28	38	54	30	22	48	31	44	43	32	22	47
ENSG00000010379	SLC6A13	1	2	0	0	1	0	0	1	2	0	1	0
ENSG00000010404	IDS	3365	2810	3658	2533	2256	3841	2416	4248	2336	3326	2774	4126
ENSG00000010438	PRSS3	1	3	1	1	0	7	1	1	1	1	1	1
ENSG00000010539	ZNF200	228	333	347	278	249	431	230	325	270	374	290	246
ENSG00000010610	CD4	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000010626	LRRC23	104	162	190	81	80	214	66	105	71	84	71	108
ENSG00000010671	BTK	0	1	2	1	2	1	1	2	1	0	0	2
ENSG00000010704	HFE	0	0	0	0	0	1	2	1	0	1	0	1
ENSG00000010803	SCMH1	486	491	666	406	310	662	415	667	396	448	427	562
ENSG00000010810	FYN	56	153	205	38	33	197	29	53	24	47	33	70
ENSG00000010818	HIVEP2	613	438	745	371	391	653	426	729	355	550	511	771
ENSG00000010932	FMO1	13	6	9	7	7	5	1	16	6	12	10	6
ENSG00000011007	ELOA	1952	1515	1806	1669	1626	2049	1779	2544	1545	2157	1886	2033
ENSG00000011009	LYPLA2	1094	770	985	906	609	1015	983	1385	945	878	781	1323
ENSG00000011021	CLCN6	185	155	221	137	146	243	181	238	170	216	204	202
ENSG00000011028	MRC2	284	416	531	184	128	557	223	352	203	224	190	313
ENSG00000011052	NME1-NME2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011083	SLC6A7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011105	TSPAN9	544	603	622	520	351	689	546	678	550	510	403	644
ENSG00000011114	BTBD7	1226	871	1310	802	890	1383	950	1483	836	1410	1184	1465
ENSG00000011132	APBA3	127	121	148	70	49	129	94	165	68	78	75	125
ENSG00000011143	MKS1	486	485	575	362	276	617	363	705	382	394	384	514
ENSG00000011198	ABHD5	738	794	998	708	673	1028	674	1050	636	818	717	953
ENSG00000011201	ANOS1	275	282	308	227	192	371	233	313	228	267	201	303
ENSG00000011243	AKAP8L	717	784	955	756	525	944	750	1029	709	801	796	780
ENSG00000011258	MBTD1	782	930	1155	622	550	1278	608	973	591	786	695	873
ENSG00000011260	UTP18	2183	2326	2556	2507	2034	2764	2234	2604	2091	2413	2190	2416
ENSG00000011275	RNF216	1695	1631	2064	1129	1024	2180	1246	2338	1092	1270	1157	2008
ENSG00000011295	TTC19	922	1141	1327	745	689	1520	735	1154	724	864	737	1090
ENSG00000011304	PTBP1	8959	5342	6694	7059	6576	7296	7401	12092	6904	9791	8236	10409
ENSG00000011332	DPF1	131	73	100	93	52	96	93	138	81	91	63	151
ENSG00000011347	SYT7	1028	1093	1338	818	716	1482	829	1310	784	928	843	1178
ENSG00000011376	LARS2	447	332	443	408	333	420	410	532	358	456	405	503
ENSG00000011405	PIK3C2A	1821	1881	2555	1225	1241	2652	1456	2280	1324	1828	1632	2445
ENSG00000011422	PLAUR	18	32	22	17	17	34	15	49	17	16	14	42
ENSG00000011426	ANLN	3259	1238	1380	3317	3567	1693	3449	4484	3169	4727	4317	3800
ENSG00000011451	WIZ	2649	1684	2223	2031	1660	2245	2140	3533	1992	2430	2285	3011
ENSG00000011454	RABGAP1	1379	1431	1938	1184	967	1846	1234	1756	1146	1353	1315	1585
ENSG00000011465	DCN	0	0	0	1	1	0	0	0	0	0	0	0
ENSG00000011478	QPCTL	426	329	376	370	231	398	375	605	362	343	286	496
ENSG00000011485	PPP5C	2322	1641	1778	2081	1726	2030	2108	2827	1915	2332	2050	2474
ENSG00000011523	CEP68	264	297	326	258	208	333	253	376	254	309	238	310
ENSG00000011566	MAP4K3	1000	984	1117	947	945	1380	1000	1348	864	1151	1039	1236
ENSG00000011590	ZBTB32	10	7	11	2	1	8	2	6	3	1	2	2
ENSG00000011600	TYROBP	0	0	0	0	1	0	0	0	1	0	0	0
ENSG00000011638	TMEM159	551	741	807	497	280	974	523	720	549	435	383	630
ENSG00000011677	GABRA3	8	10	15	11	8	12	9	16	7	11	6	9
ENSG00000012048	BRCA1	1332	1010	1357	1010	1092	1601	1068	1541	1008	1424	1222	1599
ENSG00000012061	ERCC1	571	477	616	478	370	635	496	711	450	525	442	643
ENSG00000012124	CD22	7	18	18	7	7	12	8	11	6	11	14	12
ENSG00000012171	SEMA3B	572	358	465	218	305	490	282	696	261	452	381	580
ENSG00000012174	MBTPS2	787	790	911	652	673	1136	718	1021	630	839	726	947
ENSG00000012211	PRICKLE3	190	186	226	147	140	261	210	295	177	201	161	240
ENSG00000012223	LTF	0	2	0	2	0	1	0	0	1	0	0	2
ENSG00000012232	EXTL3	518	418	532	438	335	523	418	580	406	506	439	599
ENSG00000012504	NR1H4	0	0	1	0	0	0	0	0	1	0	0	0
ENSG00000012660	ELOVL5	4595	4323	4803	4168	3604	5697	3840	5938	3637	4313	3910	5313
ENSG00000012779	ALOX5	0	0	0	0	0	0	1	1	0	0	0	0
ENSG00000012817	KDM5D	0	0	0	0	1	0	0	0	0	1	0	0
ENSG00000012822	CALCOCO1	238	325	477	177	141	418	218	268	217	180	187	254
ENSG00000012963	UBR7	3101	2525	2869	3082	2320	3293	2934	3917	2552	2982	2551	3852
ENSG00000012983	MAP4K5	1209	1262	1585	926	1114	1779	1047	1572	952	1490	1357	1350
ENSG00000013016	EHD3	108	107	116	103	92	149	118	124	106	141	122	111
ENSG00000013275	PSMC4	4659	3548	4033	3638	3083	4399	3680	6027	3205	4113	3543	5220
ENSG00000013288	MAN2B2	753	556	689	744	489	783	762	1003	664	719	684	761
