Gene ID	Gene Name	ERR2200171	ERR2200172	ERR2200162	ERR2200168	ERR2200175	ERR2200166	ERR2200167	ERR2200169	ERR2200173	ERR2200170	ERR2200164	ERR2200176	ERR2200163	ERR2200174	ERR2200165
ENSG00000002726	AOC1	1	0	0	0	2	0	0	0	2	3	0	13	0	0	0
ENSG00000002745	WNT16	1	0	0	1	1	5	3	0	0	0	0	8	1	1	3
ENSG00000002746	HECW1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000002822	MAD1L1	175	176	254	140	612	165	394	181	230	152	280	676	176	194	180
ENSG00000002834	LASP1	1208	1721	1039	1139	1617	718	1013	1414	1354	1101	1081	2044	782	746	613
ENSG00000002919	SNX11	164	155	181	135	221	134	226	131	185	128	220	304	129	137	150
ENSG00000002933	TMEM176A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003056	M6PR	515	314	684	528	1232	511	927	458	590	540	806	1086	568	469	443
ENSG00000003096	KLHL13	13	4	6	10	20	5	8	10	3	6	3	23	9	12	11
ENSG00000003137	CYP26B1	13	21	1	8	15	4	3	13	5	8	9	7	6	5	2
ENSG00000003147	ICA1	327	242	329	269	478	240	395	245	317	317	436	614	207	224	215
ENSG00000003249	DBNDD1	846	1190	1037	690	1212	773	1046	1031	825	702	1253	1499	732	811	657
ENSG00000003393	ALS2	336	346	355	350	585	328	444	340	387	373	522	773	270	299	305
ENSG00000003400	CASP10	2	2	0	0	6	0	0	7	5	1	2	3	3	1	4
ENSG00000003402	CFLAR	442	335	495	370	549	366	474	330	472	376	630	677	352	314	330
ENSG00000003436	TFPI	1198	784	1466	1044	1484	1137	1724	824	1465	1139	2139	1764	1194	749	927
ENSG00000003509	NDUFAF7	143	76	116	135	328	118	247	141	170	130	171	340	95	121	116
ENSG00000003756	RBM5	502	564	650	421	1056	473	747	520	581	457	841	1092	439	404	438
ENSG00000003987	MTMR7	53	24	33	31	73	36	22	17	39	29	50	72	21	31	22
ENSG00000003989	SLC7A2	1896	1265	1360	1357	2174	672	994	1123	1911	1405	1741	2211	832	1111	592
ENSG00000004059	ARF5	916	1836	973	750	2169	565	1194	1126	851	709	1078	2302	663	784	586
ENSG00000004139	SARM1	44	52	39	36	70	45	62	55	46	32	61	30	26	31	20
ENSG00000004142	POLDIP2	1115	1071	1324	942	2597	999	1422	1070	1166	984	1432	2042	930	1123	835
ENSG00000004399	PLXND1	64	85	204	52	102	129	170	53	53	32	186	111	115	63	91
ENSG00000004455	AK2	786	1308	745	640	2100	602	877	864	777	667	813	2082	509	700	510
ENSG00000004468	CD38	2	0	2	0	4	1	0	0	0	0	1	0	0	2	0
ENSG00000004478	FKBP4	2073	1736	1816	1909	4279	1223	1930	2004	2285	2025	2041	4768	1112	2039	1003
ENSG00000004487	KDM1A	583	471	608	505	1687	418	658	480	662	518	833	1809	467	734	382
ENSG00000004534	RBM6	256	275	248	236	365	215	312	178	272	231	385	650	193	246	192
ENSG00000004660	CAMKK1	21	24	62	19	46	38	57	24	26	36	99	98	48	40	48
ENSG00000004700	RECQL	109	42	158	117	413	112	202	73	139	117	198	393	113	189	95
ENSG00000004766	VPS50	544	211	502	510	976	378	660	288	611	621	543	1009	329	437	355
ENSG00000004776	HSPB6	0	0	1	0	3	3	1	1	1	1	4	0	2	2	3
ENSG00000004777	ARHGAP33	6	20	25	4	31	19	13	16	6	14	26	72	14	15	16
ENSG00000004779	NDUFAB1	510	387	584	534	1357	481	872	490	649	612	855	1076	393	557	436
ENSG00000004799	PDK4	0	0	1	0	0	0	0	0	1	0	0	0	1	1	2
ENSG00000004809	SLC22A16	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0
ENSG00000004838	ZMYND10	5	0	0	0	4	2	1	1	8	2	2	4	3	1	3
ENSG00000004846	ABCB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004848	ARX	6	18	9	9	7	4	9	12	7	7	7	13	11	4	12
ENSG00000004864	SLC25A13	954	685	1195	881	1746	959	1522	761	1013	960	1602	2006	898	856	829
ENSG00000004866	ST7	74	152	93	69	191	82	125	136	60	89	104	106	85	80	72
ENSG00000004897	CDC27	554	464	744	517	1085	536	848	425	575	637	970	1361	483	665	572
ENSG00000004939	SLC4A1	1	0	1	0	1	0	2	0	0	0	4	0	1	3	1
ENSG00000004948	CALCR	11	3	2	4	9	5	1	3	2	5	2	4	4	6	1
ENSG00000004961	HCCS	139	125	152	142	141	118	177	120	142	136	186	149	124	115	95
ENSG00000004975	DVL2	282	230	553	273	529	353	534	260	314	242	538	425	366	253	350
ENSG00000005001	PRSS22	197	146	202	164	347	133	210	146	230	182	254	218	170	111	135
ENSG00000005007	UPF1	542	632	639	471	1043	438	581	481	599	432	607	1100	431	468	402
ENSG00000005020	SKAP2	156	163	138	139	250	127	244	136	186	140	181	347	104	143	80
ENSG00000005022	SLC25A5	1452	1246	1716	1433	2164	1420	2137	1129	1430	1426	1951	2304	1231	1682	1217
ENSG00000005059	MCUB	88	29	77	78	219	97	192	27	88	59	142	171	72	130	74
ENSG00000005073	HOXA11	0	8	1	0	1	3	7	0	0	0	1	2	3	0	1
ENSG00000005075	POLR2J	440	590	407	414	777	339	515	406	470	451	414	718	282	411	273
ENSG00000005100	DHX33	190	282	338	206	402	231	241	189	222	159	319	349	202	212	168
ENSG00000005102	MEOX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005108	THSD7A	0	0	1	0	0	3	4	0	1	1	0	5	1	0	0
ENSG00000005156	LIG3	334	420	381	304	600	274	315	333	356	247	389	935	256	341	238
ENSG00000005175	RPAP3	358	36	300	341	505	234	384	172	415	365	416	827	221	390	232
ENSG00000005187	ACSM3	2	2	3	1	1	1	3	2	8	7	10	13	1	2	0
ENSG00000005189	REXO5	59	76	125	60	298	83	96	75	64	66	147	309	63	101	74
ENSG00000005194	CIAPIN1	392	503	379	307	752	276	472	395	435	319	443	713	264	317	300
ENSG00000005206	SPPL2B	100	97	115	87	193	79	142	89	126	57	140	291	85	100	94
ENSG00000005238	FAM214B	239	302	195	154	211	151	143	299	232	178	214	237	150	104	98
ENSG00000005243	COPZ2	17	30	20	20	12	16	51	20	50	12	28	21	12	5	19
ENSG00000005249	PRKAR2B	102	18	130	76	150	129	173	42	70	97	191	202	103	81	82
ENSG00000005302	MSL3	188	257	193	207	358	148	210	218	254	182	262	404	138	168	144
ENSG00000005339	CREBBP	515	1113	863	444	642	587	724	753	492	350	730	819	515	359	457
ENSG00000005379	TSPOAP1	1	0	4	0	8	1	0	7	2	2	1	1	0	0	5
ENSG00000005381	MPO	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSG00000005421	PON1	1	3	0	0	0	0	0	0	1	0	0	0	0	1	0
ENSG00000005436	GCFC2	129	5	138	140	206	138	177	41	148	121	185	281	92	124	94
ENSG00000005448	WDR54	147	192	160	160	442	124	174	141	197	163	211	340	96	190	133
ENSG00000005469	CROT	298	120	291	203	345	266	346	123	370	280	379	404	191	177	204
ENSG00000005471	ABCB4	36	19	23	33	38	13	24	24	23	29	38	67	8	24	14
ENSG00000005483	KMT2E	1293	1773	1426	1105	1602	1059	1493	1383	1512	1155	1555	2323	883	1017	866
ENSG00000005486	RHBDD2	610	1341	1993	515	1328	1351	1547	1103	625	496	2184	1096	1508	563	959
ENSG00000005513	SOX8	1	0	3	3	2	9	10	2	0	0	7	1	4	1	4
ENSG00000005700	IBTK	571	317	754	607	1236	751	1165	383	710	617	1085	1909	588	636	540
ENSG00000005801	ZNF195	231	162	244	236	399	199	272	240	248	250	280	545	167	232	178
ENSG00000005810	MYCBP2	570	558	860	549	927	586	817	535	663	497	827	1600	521	492	499
ENSG00000005812	FBXL3	224	79	209	161	280	193	285	90	270	174	319	409	174	179	136
ENSG00000005844	ITGAL	1	8	2	1	3	0	9	3	3	0	1	0	2	0	3
ENSG00000005882	PDK2	112	325	126	94	238	83	107	131	105	89	154	204	96	112	53
ENSG00000005884	ITGA3	1061	1365	1867	840	1148	1058	1159	945	1097	720	2228	1473	1335	563	786
ENSG00000005889	ZFX	460	310	475	389	690	333	504	413	447	414	576	860	322	285	249
ENSG00000005893	LAMP2	956	649	1117	837	1533	820	1221	760	1013	795	1289	1181	826	735	746
ENSG00000005961	ITGA2B	4	3	3	3	14	2	0	1	2	2	2	41	1	8	2
ENSG00000005981	ASB4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006007	GDE1	808	629	1206	677	1880	817	1334	725	873	782	1560	1732	923	828	700
ENSG00000006015	REX1BD	195	130	213	233	449	170	191	120	199	161	225	336	162	167	148
ENSG00000006016	CRLF1	6	18	3	15	25	12	6	13	5	4	11	36	5	17	13
ENSG00000006025	OSBPL7	250	390	297	173	317	210	391	230	264	157	363	401	216	160	170
ENSG00000006042	TMEM98	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0
ENSG00000006047	YBX2	62	148	68	51	283	68	82	95	54	57	94	432	36	130	50
ENSG00000006059	KRT33A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSG00000006062	MAP3K14	63	74	104	58	81	82	34	88	63	37	122	59	101	36	52
ENSG00000006071	ABCC8	17	10	17	7	38	9	21	18	20	10	22	31	21	17	18
ENSG00000006116	CACNG3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006118	TMEM132A	1083	1190	1968	925	2517	1233	1618	892	1136	763	1930	2126	1351	848	1025
ENSG00000006125	AP2B1	588	887	736	470	867	401	425	638	636	410	603	893	392	405	334
ENSG00000006128	TAC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006194	ZNF263	294	275	429	252	598	309	486	277	325	337	592	708	311	300	281
ENSG00000006210	CX3CL1	33	35	43	26	40	38	51	34	20	33	41	31	32	12	34
ENSG00000006282	SPATA20	1282	1681	1727	1015	1676	990	1534	1149	1244	902	2138	1376	1195	719	934
ENSG00000006283	CACNA1G	2	6	13	3	3	1	18	8	2	2	4	0	5	0	0
ENSG00000006327	TNFRSF12A	1508	1054	1867	1596	1850	1236	2139	982	1834	1771	2377	1529	1317	906	1026
ENSG00000006377	DLX6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006432	MAP3K9	513	723	675	357	729	501	672	472	520	336	733	1082	448	396	385
ENSG00000006451	RALA	161	30	220	152	188	198	240	70	175	175	315	375	146	130	144
ENSG00000006453	BAIAP2L1	258	452	319	291	438	267	311	416	310	270	455	575	220	267	196
ENSG00000006459	KDM7A	117	47	182	86	80	124	223	53	118	71	168	119	112	49	91
ENSG00000006468	ETV1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006530	AGK	326	281	294	281	625	235	362	290	369	319	324	659	229	284	220
ENSG00000006534	ALDH3B1	99	102	118	77	126	42	78	100	95	69	158	137	91	65	30
ENSG00000006555	TTC22	2	1	1	1	4	2	0	4	1	1	0	0	1	1	1
ENSG00000006576	PHTF2	516	256	601	461	933	431	607	250	517	469	743	1350	430	496	328
ENSG00000006606	CCL26	0	0	1	3	5	1	0	0	1	0	1	0	0	0	0
ENSG00000006607	FARP2	282	257	343	207	464	270	294	268	247	180	386	439	210	236	228
ENSG00000006611	USH1C	0	6	0	1	2	0	3	1	0	0	0	0	0	0	0
ENSG00000006625	GGCT	155	27	280	190	571	283	503	52	265	230	351	736	229	263	218
ENSG00000006634	DBF4	417	98	514	505	1717	497	818	235	529	538	795	2053	348	812	482
ENSG00000006638	TBXA2R	1	0	0	0	2	0	2	0	0	0	2	13	3	3	1
ENSG00000006652	IFRD1	567	303	580	688	1642	598	1050	546	747	829	631	2235	501	753	498
ENSG00000006659	LGALS14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006695	COX10	183	390	290	141	438	215	333	289	215	188	385	341	229	184	158
ENSG00000006704	GTF2IRD1	204	273	463	133	341	320	474	200	176	145	432	327	371	180	231
ENSG00000006712	PAF1	464	776	249	399	548	213	286	551	404	383	287	1133	176	415	177
ENSG00000006715	VPS41	608	297	635	622	1132	543	885	428	740	670	783	1378	497	515	474
ENSG00000006740	ARHGAP44	50	48	81	38	116	83	65	51	52	34	104	59	73	47	49
ENSG00000006744	ELAC2	898	1007	831	741	1490	630	839	866	815	770	949	1877	533	868	561
ENSG00000006747	SCIN	962	760	785	479	654	438	588	408	997	481	792	1091	435	448	372
ENSG00000006756	ARSD	397	390	633	278	464	397	612	367	487	269	664	781	439	198	313
ENSG00000006757	PNPLA4	33	36	25	46	52	25	59	34	36	38	41	52	16	19	19
ENSG00000006788	MYH13	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006831	ADIPOR2	867	733	1076	663	886	591	843	562	1052	658	1048	1625	542	692	541
ENSG00000006837	CDKL3	3	3	3	6	6	0	0	4	6	7	2	7	1	5	2
ENSG00000007001	UPP2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSG00000007038	PRSS21	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0
ENSG00000007047	MARK4	91	59	120	79	103	77	125	68	103	83	133	104	80	63	50
ENSG00000007062	PROM1	0	0	1	0	0	0	0	0	0	4	0	0	1	1	0
ENSG00000007080	CCDC124	92	128	58	80	69	47	121	119	99	58	70	158	45	87	40
ENSG00000007129	CEACAM21	0	5	5	1	0	0	4	2	2	0	0	0	2	0	0
ENSG00000007168	PAFAH1B1	542	290	685	506	802	538	921	460	621	518	851	1385	477	520	443
ENSG00000007171	NOS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007174	DNAH9	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007202	KIAA0100	2533	3980	4004	1853	3915	2313	3446	2774	2729	2005	4304	4230	2503	2111	1923
ENSG00000007216	SLC13A2	3	0	0	5	1	0	0	1	1	1	0	0	0	0	0
ENSG00000007237	GAS7	1	0	3	2	1	1	0	4	2	1	0	0	0	2	3
ENSG00000007255	TRAPPC6A	145	112	165	115	222	93	159	81	202	136	180	281	126	113	97
ENSG00000007264	MATK	92	71	142	68	359	127	151	88	85	81	187	321	111	126	79
ENSG00000007306	CEACAM7	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000007312	CD79B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007314	SCN4A	0	5	0	0	1	0	0	0	0	0	0	0	0	1	0
ENSG00000007341	ST7L	94	97	104	99	196	88	129	75	119	98	112	214	69	120	100
ENSG00000007350	TKTL1	1	0	2	0	0	1	0	1	1	0	0	0	0	0	1
ENSG00000007372	PAX6	0	0	0	0	0	0	0	0	4	3	2	0	0	0	0
ENSG00000007376	RPUSD1	545	737	807	542	1668	631	843	597	550	562	1080	1713	525	748	521
ENSG00000007384	RHBDF1	595	985	656	428	818	383	577	639	605	421	625	831	492	363	374
ENSG00000007392	LUC7L	275	184	293	276	373	270	328	162	313	289	365	687	220	299	220
ENSG00000007402	CACNA2D2	6	9	10	4	18	4	21	1	11	3	12	33	13	12	13
ENSG00000007516	BAIAP3	31	35	48	25	46	24	31	28	35	14	46	65	24	26	28
ENSG00000007520	TSR3	225	118	332	145	456	282	338	172	240	210	434	648	230	190	190
ENSG00000007541	PIGQ	283	343	646	226	609	373	496	250	317	209	740	530	483	245	315
ENSG00000007545	CRAMP1	103	50	166	89	174	181	204	87	152	110	158	230	109	87	127
ENSG00000007866	TEAD3	288	471	416	212	387	255	372	347	254	185	383	495	289	176	196
ENSG00000007908	SELE	2	0	0	4	1	0	0	4	1	2	0	0	0	3	0
ENSG00000007923	DNAJC11	251	184	222	207	404	178	265	172	240	219	290	607	165	257	134
ENSG00000007933	FMO3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007944	MYLIP	255	188	355	201	337	261	356	187	289	185	447	350	265	163	224
ENSG00000007952	NOX1	0	0	0	3	0	1	0	0	0	0	0	0	0	1	3
ENSG00000007968	E2F2	81	77	126	59	505	120	181	63	97	50	155	396	66	187	92
ENSG00000008018	PSMB1	1270	793	1077	1342	3284	846	1562	983	1535	1387	1420	2583	646	1129	864
ENSG00000008056	SYN1	1	2	7	1	0	1	0	7	0	0	2	4	1	2	3
ENSG00000008083	JARID2	386	665	377	298	407	235	356	373	443	257	456	672	263	265	189
ENSG00000008086	CDKL5	131	195	89	77	140	94	106	117	169	83	141	173	74	72	113
ENSG00000008118	CAMK1G	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000008128	CDK11A	6	0	1	4	5	7	9	1	3	6	2	4	2	2	3
ENSG00000008130	NADK	250	288	240	233	532	194	344	276	287	183	276	611	179	254	208
ENSG00000008196	TFAP2B	3	1	0	1	1	1	1	2	1	2	0	0	0	1	0
ENSG00000008197	TFAP2D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008226	DLEC1	11	21	11	8	16	15	6	4	9	9	11	30	12	16	17
ENSG00000008256	CYTH3	52	103	84	41	64	83	108	53	50	25	122	90	64	35	59
ENSG00000008277	ADAM22	155	74	241	96	269	115	222	94	169	143	251	393	126	131	103
ENSG00000008282	SYPL1	701	163	738	719	808	587	924	327	777	855	967	1468	589	614	575
ENSG00000008283	CYB561	2240	1659	3940	1973	3967	3206	4866	1615	2337	1857	4554	4213	2777	1964	2736
ENSG00000008294	SPAG9	1180	523	1497	957	1831	1366	2103	740	1356	1103	1912	2861	1116	951	1214
ENSG00000008300	CELSR3	311	369	370	220	374	299	358	232	322	220	350	464	299	182	225
ENSG00000008311	AASS	3	4	3	0	6	3	3	1	3	0	6	0	5	2	5
ENSG00000008323	PLEKHG6	68	117	100	35	140	65	42	69	65	53	88	123	54	52	43
ENSG00000008324	SS18L2	59	12	72	44	118	41	67	30	61	51	67	90	51	66	28
ENSG00000008382	MPND	56	4	55	45	35	39	92	16	42	38	67	76	34	35	22
ENSG00000008394	MGST1	221	272	202	263	309	233	411	318	226	250	322	435	177	233	216
ENSG00000008405	CRY1	94	87	170	107	187	149	262	99	119	119	220	314	102	138	111
ENSG00000008438	PGLYRP1	0	0	3	1	0	0	4	0	0	0	2	0	0	2	0
ENSG00000008441	NFIX	40	133	56	33	65	55	92	97	39	35	53	160	40	36	35
ENSG00000008513	ST3GAL1	177	342	192	155	252	200	301	219	192	191	153	251	178	85	151
ENSG00000008516	MMP25	2	11	20	10	15	12	22	6	16	14	10	3	8	9	5
ENSG00000008517	IL32	9	10	4	19	12	4	4	18	6	14	22	11	5	6	4
ENSG00000008710	PKD1	296	378	633	249	549	546	921	296	384	236	736	700	505	254	479
ENSG00000008735	MAPK8IP2	100	89	180	60	169	131	151	67	94	49	188	140	116	52	112
ENSG00000008838	MED24	230	397	248	232	461	138	163	304	257	199	239	463	139	267	108
ENSG00000008853	RHOBTB2	134	233	277	151	174	171	181	195	186	148	328	247	203	120	122
ENSG00000008869	HEATR5B	585	538	606	488	1037	484	724	530	628	525	878	1079	425	458	390
ENSG00000008952	SEC62	635	173	518	586	641	446	658	315	583	580	748	1509	466	518	428
ENSG00000008988	RPS20	1679	1229	1760	1750	3904	1417	2780	1688	1900	1721	2626	4253	1264	1374	1203
ENSG00000009307	CSDE1	23756	10581	22509	21437	42591	17048	26375	15491	24957	21732	28045	49599	15871	19822	14849
ENSG00000009335	UBE3C	1159	1188	1529	872	2101	968	1380	1008	1283	894	1814	2076	1006	928	858
ENSG00000009413	REV3L	926	490	1247	711	1336	919	1201	641	1006	759	1410	2137	863	767	733
ENSG00000009694	TENM1	10	5	9	6	4	3	0	8	14	8	1	10	1	6	5
ENSG00000009709	PAX7	0	0	0	0	1	0	5	0	1	0	0	0	2	1	0
ENSG00000009724	MASP2	6	8	12	3	5	4	5	9	14	1	12	8	6	5	9
ENSG00000009765	IYD	3	9	1	4	0	2	0	1	7	4	2	0	0	3	0
ENSG00000009780	FAM76A	84	51	144	59	196	132	183	56	65	87	156	182	88	61	119
ENSG00000009790	TRAF3IP3	4	0	1	3	0	1	2	0	1	1	4	3	0	0	2
ENSG00000009830	POMT2	282	397	445	260	516	328	436	377	296	252	500	436	337	230	272
ENSG00000009844	VTA1	449	351	396	497	768	329	561	388	508	497	546	810	313	444	283
ENSG00000009950	MLXIPL	10	17	5	8	15	3	5	10	9	2	6	33	5	14	0
ENSG00000009954	BAZ1B	1612	1417	2319	1264	2691	1518	2478	1209	1446	1187	2525	5391	1292	1753	1420
ENSG00000010017	RANBP9	829	523	1099	563	1008	763	986	540	850	641	1187	1117	669	598	619
ENSG00000010030	ETV7	14	30	64	19	46	28	20	25	18	26	60	15	22	23	26
ENSG00000010072	SPRTN	184	102	225	163	376	169	209	145	208	128	290	371	135	187	167
ENSG00000010165	EEF1AKNMT	344	226	345	282	486	236	307	235	310	256	333	722	274	276	181
ENSG00000010219	DYRK4	2	14	9	5	17	14	10	11	8	6	8	31	3	11	15
ENSG00000010244	ZNF207	1079	2342	1101	1082	2526	891	1190	1625	1111	1082	1347	1824	736	1131	694
ENSG00000010256	UQCRC1	946	1394	1055	915	2363	732	1107	1124	1062	915	1162	2216	765	888	609
ENSG00000010270	STARD3NL	189	163	244	222	540	188	277	179	245	213	331	339	187	216	177
ENSG00000010278	CD9	722	601	798	605	1563	655	1228	538	783	603	1167	1287	581	662	630
ENSG00000010282	HHATL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000010292	NCAPD2	346	400	223	280	1066	176	231	372	294	241	276	1167	159	536	150
ENSG00000010295	IFFO1	7	3	19	9	11	11	7	5	7	4	10	16	7	6	12
ENSG00000010310	GIPR	3	7	5	2	7	5	0	9	2	4	6	9	12	4	3
ENSG00000010318	PHF7	18	19	11	11	28	11	12	22	31	27	22	33	17	18	26
ENSG00000010319	SEMA3G	3	8	10	9	14	11	5	8	7	5	27	2	8	2	7
ENSG00000010322	NISCH	267	427	388	186	441	219	383	284	266	200	386	520	278	173	218
ENSG00000010327	STAB1	1	0	1	0	4	5	0	1	3	1	0	1	0	3	0
ENSG00000010361	FUZ	60	66	53	32	136	45	75	61	57	48	81	142	44	61	25
ENSG00000010379	SLC6A13	0	2	0	0	0	2	0	0	0	0	0	0	1	0	0
ENSG00000010404	IDS	394	590	480	277	482	418	539	436	387	280	482	593	351	306	338
ENSG00000010438	PRSS3	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0
ENSG00000010539	ZNF200	120	125	166	116	267	99	134	134	141	158	172	314	103	116	117
ENSG00000010610	CD4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000010626	LRRC23	31	4	15	24	33	12	10	12	25	28	19	40	8	20	9
ENSG00000010671	BTK	1	2	7	3	0	1	2	1	4	3	3	0	3	1	0
ENSG00000010704	HFE	42	30	41	26	58	14	36	40	44	20	12	63	14	24	14
ENSG00000010803	SCMH1	90	118	109	60	162	74	118	135	91	79	108	161	92	69	63
ENSG00000010810	FYN	18	10	29	16	7	6	34	10	17	11	17	16	15	5	6
ENSG00000010818	HIVEP2	368	649	455	304	374	343	376	411	371	275	400	531	286	200	230
ENSG00000010932	FMO1	3	0	0	1	4	4	0	0	6	1	1	3	1	1	2
ENSG00000011007	ELOA	571	897	613	496	940	498	626	565	615	466	675	1462	437	568	372
ENSG00000011009	LYPLA2	613	766	672	515	1090	442	693	640	658	610	699	776	452	427	354
ENSG00000011021	CLCN6	82	124	120	69	207	97	101	120	107	81	109	123	80	83	71
ENSG00000011028	MRC2	103	115	87	65	109	60	73	107	119	66	118	227	78	50	43
ENSG00000011052	NME1-NME2	3	0	1	3	8	0	0	0	3	2	0	1	1	4	1
ENSG00000011083	SLC6A7	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0
ENSG00000011105	TSPAN9	103	85	60	86	153	47	54	50	97	90	55	132	46	69	33
ENSG00000011114	BTBD7	605	572	744	418	662	525	529	571	508	384	702	924	524	446	371
ENSG00000011132	APBA3	83	89	122	78	188	55	124	136	91	65	116	193	65	77	88
ENSG00000011143	MKS1	160	182	172	178	382	162	184	182	229	195	249	327	143	146	134
ENSG00000011198	ABHD5	245	110	322	242	583	270	374	194	265	252	438	466	216	227	203
ENSG00000011201	ANOS1	40	66	60	34	42	34	36	49	53	40	65	57	54	16	14
ENSG00000011243	AKAP8L	388	373	378	323	668	244	316	297	420	334	323	721	295	273	195
ENSG00000011258	MBTD1	278	147	376	210	356	279	370	179	324	282	423	565	304	221	242
ENSG00000011260	UTP18	375	147	418	348	833	287	539	231	400	348	488	1272	280	451	326
ENSG00000011275	RNF216	593	758	637	489	1152	512	684	600	598	444	709	1229	517	557	410
ENSG00000011295	TTC19	281	184	414	219	463	340	610	156	326	290	584	556	313	230	257
ENSG00000011304	PTBP1	1281	2201	982	1291	2171	898	885	1726	1275	932	1024	2145	715	1313	704
ENSG00000011332	DPF1	20	48	22	18	39	21	18	28	34	31	23	82	12	49	22
ENSG00000011347	SYT7	162	260	383	129	283	223	272	213	157	131	398	426	214	161	187
ENSG00000011376	LARS2	349	298	302	250	611	229	328	279	319	271	355	666	185	311	203
ENSG00000011405	PIK3C2A	902	341	975	816	1161	839	1172	584	869	818	1315	1728	706	697	704
ENSG00000011422	PLAUR	38	74	58	52	92	50	69	79	52	44	60	64	39	44	30
ENSG00000011426	ANLN	730	579	545	703	3085	633	951	659	725	743	854	3761	385	1621	520
